Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,cid
Toyota,15500.0,sedan,129,3.5,Other,yes,2008,Camry,2052
BMW,13999.0,sedan,265,3.0,Diesel,yes,2005,730,2053
Mitsubishi,10200.0,sedan,104,,Gas,yes,2008,Lancer X,2054
Toyota,42900.0,crossover,51,3.0,Diesel,yes,2013,Land Cruiser Prado,2055
Volkswagen,47777.0,sedan,91,3.0,Diesel,yes,2012,Phaeton,2056
Toyota,,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,2057
Renault,7550.0,hatch,155,2.0,Petrol,yes,2007,Laguna,2058
BMW,68500.0,sedan,43,4.4,Petrol,yes,2013,750,2059
Volkswagen,8400.0,van,300,2.5,Diesel,yes,2004,T5 (Transporter),2060
Renault,24193.65,van,1,1.6,Diesel,yes,2015,Trafic,2061
Renault,14700.0,crossover,61,1.5,Diesel,yes,2013,Duster,2062
Renault,8300.0,van,127,1.5,Diesel,yes,2011,Kangoo,2063
Volkswagen,19000.0,vagon,185,2.0,Diesel,yes,2011,Passat B7,2064
BMW,3700.0,sedan,305,1.9,Petrol,no,2000,318,2065
BMW,4500.0,sedan,307,2.5,Petrol,yes,1994,525,2066
Toyota,9400.0,sedan,140,1.6,Petrol,yes,2008,Corolla,2067
Toyota,25000.0,crossover,115,5.7,Petrol,yes,2007,Tundra,2068
Volkswagen,18000.0,sedan,110,2.0,Diesel,yes,2013,Passat B7,2069
Toyota,12300.0,sedan,135,2.4,Petrol,yes,2006,Camry,2070
Mercedes-Benz,20500.0,sedan,235,2.2,Diesel,yes,2007,E-Class,2071
Renault,11900.0,other,162,2.3,Other,yes,2011,Master,2072
BMW,3990.0,sedan,350,2.5,Petrol,yes,1995,525,2073
BMW,2200.0,sedan,290,1.6,Petrol,yes,1985,316,2074
Mercedes-Benz,13600.0,van,190,2.2,Diesel,yes,2009,Vito,2075
BMW,17300.0,sedan,180,3.0,Diesel,yes,2007,730,2076
Mercedes-Benz,12500.0,van,386,2.2,Diesel,yes,2008,Sprinter 313,2077
BMW,13900.0,crossover,184,3.0,Gas,yes,2004,X5,2078
BMW,39600.0,crossover,98,3.0,Petrol,yes,2011,X6,2079
Volkswagen,11700.0,van,185,1.4,Petrol,yes,2008,Cross Touran,2080
Audi,7200.0,sedan,250,2.4,Gas,yes,1998,A6,2081
Audi,10999.0,sedan,200,1.8,Petrol,yes,2006,A4,2082
Renault,7900.0,vagon,105,1.5,Diesel,yes,2010,Kangoo,2083
Mercedes-Benz,13900.0,other,168,5.0,Petrol,yes,2002,CL 500,2084
Volkswagen,4500.0,vagon,390,1.9,Diesel,yes,1996,Passat B4,2085
Toyota,9000.0,crossover,180,1.8,Gas,yes,2003,Matrix,2086
Renault,10500.0,vagon,233,1.5,Diesel,yes,2009,Laguna,2087
Mercedes-Benz,13000.0,sedan,220,5.0,Petrol,yes,2003,S 500,2088
Renault,7300.0,van,186,1.5,Diesel,yes,2010,Kangoo,2089
Toyota,21999.0,sedan,80,2.5,Other,yes,2012,Camry,2090
Mitsubishi,10500.0,sedan,57,1.5,Gas,yes,2011,Lancer X,2091
BMW,,crossover,8,2.0,Diesel,yes,2016,X5,2092
Renault,8300.0,van,137,1.5,Diesel,yes,2014,Kangoo,2093
Mitsubishi,12300.0,other,175,2.5,Diesel,yes,2008,L 200,2094
Renault,14999.0,van,54,66.0,Other,yes,2012,Kangoo,2095
Mercedes-Benz,2900.0,sedan,282,2.2,Diesel,no,2000,210,2096
Mercedes-Benz,12950.0,sedan,313,3.2,Diesel,yes,2003,S 320,2097
BMW,23500.0,crossover,140,4.8,Petrol,yes,2008,X5,2098
Audi,33300.0,crossover,71,2.0,Petrol,yes,2011,Q5,2099
Mitsubishi,8200.0,crossover,210,2.4,Gas,yes,2007,Outlander,2100
Audi,1900.0,sedan,450,2.5,Diesel,no,1996,A6,2101
Volkswagen,7800.0,sedan,220,1.8,Gas,yes,2002,Passat B5,2102
Volkswagen,15900.0,sedan,103,,Petrol,yes,2012,Jetta,2103
Toyota,21800.0,crossover,170,4.0,Gas,yes,2006,Land Cruiser Prado,2104
Mercedes-Benz,22900.0,sedan,74,2.2,Diesel,yes,2011,C-Class,2105
Audi,2350.0,vagon,250,,Diesel,no,2001,A6,2106
Volkswagen,8500.0,other,200,1.6,Diesel,yes,2011,Caddy,2107
Audi,16700.0,vagon,131,2.0,Diesel,yes,2009,A4,2108
Toyota,10100.0,sedan,142,2.4,Petrol,yes,2007,Camry,2109
Renault,7700.0,van,125,1.5,Diesel,yes,2012,Kangoo,2110
Mitsubishi,10800.0,crossover,190,3.0,Gas,yes,2006,Pajero Sport,2111
Mercedes-Benz,4700.0,sedan,1,1.8,Petrol,yes,1996,C-Class,2112
Audi,5999.0,vagon,248,2.5,Diesel,yes,2000,A6,2113
Renault,5800.0,van,143,1.5,Diesel,yes,2007,Kangoo,2114
Mitsubishi,5400.0,sedan,200,1.6,Gas,yes,2005,Lancer,2115
Audi,3000.0,vagon,270,2.5,Diesel,yes,1998,A4,2116
Mitsubishi,3200.0,sedan,330,1.3,Gas,yes,1996,Lancer,2117
Mercedes-Benz,43999.0,sedan,132,3.0,Diesel,yes,2010,S 350,2118
Audi,3600.0,vagon,250,2.5,Other,yes,1999,A6,2119
Mercedes-Benz,5500.0,van,400,2.3,Diesel,yes,1996,Vito,2120
Volkswagen,10200.0,sedan,129,2.0,Petrol,yes,2006,Passat B6,2121
Mercedes-Benz,2990.0,sedan,300,2.8,Gas,yes,1979,S 280,2122
Mercedes-Benz,31500.0,sedan,123,2.2,Diesel,yes,2011,E-Class,2123
Toyota,11500.0,sedan,110,1.6,Petrol,yes,2011,Corolla,2124
Mitsubishi,10888.0,sedan,63,2.0,Petrol,yes,2012,Lancer X,2125
Toyota,38500.0,crossover,20,5.7,Gas,yes,2014,Tundra,2126
Audi,4500.0,vagon,206,2.5,Diesel,no,2003,A6,2127
Volkswagen,55555.0,van,63,2.0,Diesel,yes,2013,Multivan,2128
Volkswagen,13999.0,crossover,150,2.5,Diesel,yes,2005,Touareg,2129
Mercedes-Benz,177777.0,crossover,0,5.5,Petrol,yes,2016,G 63 AMG,2130
BMW,15000.0,other,205,,Petrol,yes,2004,530,2131
Volkswagen,6700.0,van,300,2.5,Diesel,yes,1997,T4 (Transporter),2132
Renault,7100.0,van,135,1.5,Diesel,yes,2013,Kangoo,2133
Audi,81500.0,sedan,0,3.0,Petrol,yes,2016,A7,2134
Renault,6200.0,van,122,1.5,Diesel,yes,2007,Kangoo,2135
Mercedes-Benz,42500.0,sedan,110,3.0,Diesel,yes,2011,S 350,2136
BMW,75000.0,crossover,16,3.0,Diesel,yes,2015,X6,2137
BMW,48550.0,other,147,4.0,Diesel,yes,2012,X5,2138
Mercedes-Benz,11000.0,crossover,148,3.2,Petrol,yes,2001,ML 320,2139
BMW,7500.0,sedan,275,2.0,Gas,yes,1998,520,2140
Toyota,2999.0,vagon,5,1.3,Petrol,yes,1989,Corolla,2141
BMW,22500.0,other,100,3.0,Petrol,yes,2007,630,2142
Volkswagen,12800.0,other,298,,Diesel,yes,2005,T5 (Transporter),2143
Volkswagen,11900.0,van,273,2.5,Diesel,yes,2003,T4 (Transporter),2144
Volkswagen,17900.0,crossover,167,3.0,Diesel,yes,2007,Touareg,2145
Renault,6700.0,van,118,1.5,Diesel,yes,2012,Kangoo,2146
BMW,22900.0,other,25,3.0,Petrol,yes,2008,325,2147
Mercedes-Benz,6800.0,sedan,286,,Other,yes,2000,E-Class,2148
Toyota,9300.0,sedan,170,1.8,Gas,yes,2006,Avensis,2149
Volkswagen,20350.0,vagon,111,2.0,Diesel,yes,2012,Passat B7,2150
Volkswagen,72000.0,crossover,0,3.0,Diesel,yes,2016,Touareg,2151
BMW,16800.0,crossover,250,3.0,Diesel,yes,2004,X5,2152
Toyota,8900.0,sedan,115,1.6,Petrol,yes,2008,Corolla,2153
Mitsubishi,22800.0,crossover,43,2.4,Petrol,yes,2013,Outlander,2154
Mercedes-Benz,8500.0,sedan,500,3.2,Diesel,yes,2000,E-Class,2155
Volkswagen,8800.0,sedan,86,1.6,Petrol,yes,2012,Polo,2156
Volkswagen,14100.0,vagon,115,2.0,Diesel,yes,2011,Caddy,2157
Mitsubishi,9200.0,sedan,84,2.0,Petrol,yes,2009,Lancer X,2158
Toyota,75500.0,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,2159
Volkswagen,2900.0,sedan,2,1.8,Petrol,yes,1989,Passat B3,2160
Audi,6100.0,sedan,305,1.6,Other,yes,1996,A4,2161
Volkswagen,,van,239,2.0,Diesel,yes,2012,T5 (Transporter),2162
Renault,7245.0,sedan,87,1.4,Petrol,yes,2008,Megane,2163
Renault,2500.0,sedan,170,1.9,Diesel,no,2003,Scenic,2164
Renault,11200.0,vagon,165,1.5,Diesel,yes,2012,Megane,2165
Audi,,crossover,0,3.0,Diesel,yes,2015,Q7,2166
Renault,13500.0,van,198,1.5,Diesel,yes,2012,Grand Scenic,2167
Audi,13700.0,sedan,300,2.0,Diesel,yes,2005,A6,2168
Renault,6100.0,van,280,90.0,Diesel,yes,2008,Kangoo,2169
Audi,4300.0,sedan,340,2.4,Gas,yes,1998,A6,2170
Volkswagen,9999.0,van,310,2.5,Diesel,yes,2007,T5 (Transporter),2171
Mercedes-Benz,6500.0,sedan,435,3.2,Petrol,yes,1994,S 140,2172
Mercedes-Benz,11400.0,van,174,2.2,Diesel,yes,2012,Vito,2173
Toyota,10500.0,sedan,180,3.5,Petrol,yes,2007,Camry,2174
Renault,2999.0,van,245,1.5,Diesel,yes,2003,Kangoo,2175
Mercedes-Benz,29500.0,crossover,180,3.2,Diesel,yes,2008,GL 320,2176
Audi,27000.0,other,222,,Diesel,yes,2007,Q7,2177
Mercedes-Benz,8000.0,sedan,300,2.0,Petrol,yes,2000,E-Class,2178
Mercedes-Benz,,sedan,0,2.2,Diesel,yes,2016,V 250,2179
Mitsubishi,10500.0,sedan,130,2.0,Petrol,yes,2008,Lancer X,2180
Mercedes-Benz,11400.0,sedan,220,5.0,Petrol,yes,2004,S 500,2181
Volkswagen,8300.0,hatch,147,1.6,Gas,yes,2006,Golf Plus,2182
Audi,6900.0,sedan,250,2.4,Gas,yes,1999,A6,2183
Mercedes-Benz,8500.0,other,210,4.3,Gas,yes,2000,ML 430,2184
Volkswagen,17300.0,crossover,148,3.0,Diesel,yes,2007,Touareg,2185
Mercedes-Benz,,crossover,1,3.0,Diesel,yes,2016,GLS 350,2186
Volkswagen,3500.0,vagon,215,2.0,Petrol,yes,1993,Passat B3,2187
Mercedes-Benz,249999.0,other,3,5.5,Petrol,yes,2016,S 63 AMG,2188
Volkswagen,5000.0,hatch,220,1.4,Petrol,yes,2003,Polo,2189
Mitsubishi,6900.0,sedan,118,1.6,Petrol,yes,2007,Lancer,2190
Toyota,5500.0,crossover,188,2.0,Petrol,yes,1999,Rav 4,2191
BMW,17900.0,other,98,3.0,Petrol,yes,2007,Z4,2192
Volkswagen,11500.0,van,210,2.0,Diesel,yes,2012,Caddy,2193
BMW,7200.0,sedan,448,3.0,Petrol,yes,1996,730,2194
Volkswagen,12800.0,vagon,167,1.6,Diesel,yes,2011,Golf Variant,2195
Volkswagen,7000.0,van,350,1.0,Other,yes,2004,T5 (Transporter) ,2196
BMW,8400.0,sedan,220,2.2,Gas,yes,2001,5 Series,2197
Audi,3000.0,van,11,1.9,Diesel,no,1999,A6,2198
Renault,5200.0,sedan,160,1.4,Gas,yes,2008,Symbol,2199
Mitsubishi,5700.0,vagon,120,1.3,Petrol,yes,2005,Colt,2200
Mitsubishi,6500.0,crossover,285,2.5,Diesel,yes,1991,Pajero,2201
Volkswagen,2300.0,vagon,200,1.9,Diesel,no,1999,Passat B5,2202
Volkswagen,7700.0,van,228,1.9,Diesel,yes,2006,Caddy,2203
Volkswagen,10999.0,van,110,1.6,Diesel,yes,2012,Caddy,2204
BMW,8700.0,other,212,3.0,Diesel,no,2004,730,2205
Mercedes-Benz,7200.0,sedan,312,3.2,Petrol,yes,2000,E-Class,2206
BMW,39000.0,crossover,38,3.0,Petrol,yes,2009,X6,2207
Mitsubishi,11999.0,crossover,235,3.0,Gas,yes,2007,Pajero Wagon,2208
Mercedes-Benz,129999.0,crossover,1,2.99,Diesel,yes,2016,GLS 350,2209
Volkswagen,18100.0,other,195,2.0,Diesel,yes,2011,T5 (Transporter),2210
Mitsubishi,1600.0,vagon,185,1.3,Petrol,no,2000,Space Star,2211
Mercedes-Benz,138000.0,crossover,0,3.0,Diesel,yes,2016,G 350,2212
Mercedes-Benz,,sedan,34,3.5,Diesel,yes,2014,S 350,2213
Renault,2650.0,vagon,1,1.0,Diesel,no,2006,Laguna,2214
Volkswagen,23300.0,sedan,115,1.8,Petrol,yes,2012,Passat CC,2215
BMW,25500.0,crossover,210,3.0,Gas,yes,2008,X5,2216
Volkswagen,20900.0,sedan,122,2.0,Petrol,yes,2012,Passat B7,2217
Renault,3700.0,hatch,310,2.0,Petrol,yes,1996,Laguna,2218
Toyota,9500.0,sedan,125,1.6,Petrol,yes,2009,Corolla,2219
Mercedes-Benz,61500.0,crossover,121,3.0,Diesel,yes,2013,GL 350,2220
Toyota,,crossover,43,2.2,Diesel,yes,2013,Rav 4,2221
Volkswagen,8800.0,other,217,1.9,Diesel,yes,2005,Passat B5,2222
BMW,34900.0,vagon,136,2.0,Diesel,yes,2012,520,2223
Audi,3600.0,vagon,200,2.5,Diesel,yes,1999,A6,2224
Mercedes-Benz,28000.0,other,12,1.8,Petrol,yes,2013,C-Class,2225
Mercedes-Benz,140000.0,crossover,88,5.46,Petrol,yes,2013,G 63 AMG,2226
BMW,25800.0,sedan,203,2.0,Diesel,yes,2010,520,2227
Mitsubishi,25999.0,crossover,86,3.2,Diesel,yes,2011,Pajero Wagon,2228
Volkswagen,29600.0,sedan,11,1.4,Petrol,yes,2016,Passat B8,2229
BMW,3200.0,sedan,178,1.9,Petrol,no,2001,318,2230
Mercedes-Benz,6900.0,van,200,2.3,Diesel,yes,1999,Vito,2231
Mercedes-Benz,3550.0,sedan,274,3.2,Diesel,no,2002,E-Class,2232
BMW,2900.0,vagon,230,2.0,Diesel,no,2001,320,2233
Mercedes-Benz,11500.0,van,307,2.2,Diesel,yes,2007,Vito,2234
Volkswagen,11800.0,van,218,1.9,Diesel,yes,2008,T5 (Transporter),2235
Mercedes-Benz,69900.0,sedan,76,6.0,Petrol,yes,2010,S 65 AMG,2236
Audi,23000.0,other,115,1.8,Petrol,yes,2008,S4,2237
Renault,6500.0,van,186,1.5,Diesel,yes,2012,Kangoo,2238
Volkswagen,6000.0,vagon,284,1.9,Other,yes,2001,Golf IV,2239
Toyota,17200.0,sedan,50,1.6,Petrol,yes,2013,Corolla,2240
Toyota,76500.0,crossover,29,4.5,Diesel,yes,2014,Land Cruiser 200,2241
Volkswagen,6800.0,vagon,160,2.8,Petrol,yes,2001,Sharan,2242
Mercedes-Benz,250000.0,other,6,5.5,Petrol,yes,2016,S 63 AMG,2243
Volkswagen,3750.0,sedan,262,1.8,Petrol,yes,1994,Vento,2244
Volkswagen,8000.0,other,300,2.5,Diesel,yes,2007,T5 (Transporter),2245
Mercedes-Benz,58500.0,crossover,128,3.0,Diesel,yes,2013,ML 350,2246
Renault,4999.0,sedan,114,1.4,Other,yes,2006,Clio,2247
BMW,,crossover,6,4.4,Petrol,yes,2016,X5 M,2248
Volkswagen,15800.0,sedan,56,1.4,Other,yes,2013,Jetta,2249
Volkswagen,9250.0,sedan,200,2.0,Diesel,yes,2007,Passat B6,2250
Mitsubishi,11300.0,crossover,128,2.4,Gas,yes,2008,Outlander,2251
Audi,1400.0,sedan,250,1.8,Petrol,no,1993,80,2252
Toyota,80000.0,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,2253
BMW,11900.0,sedan,1,2.8,Petrol,yes,2002,528,2254
Volkswagen,9500.0,hatch,29,1.4,Petrol,yes,2014,Polo,2255
BMW,10999.0,other,162,2.2,Petrol,yes,2002,320,2256
Audi,23500.0,crossover,119,4.2,Gas,yes,2007,Q7,2257
BMW,24500.0,crossover,170,4.8,Gas,yes,2007,X5,2258
Mitsubishi,6000.0,sedan,150,1.8,Gas,yes,2004,Virage,2259
Mitsubishi,17500.0,crossover,194,3.2,Diesel,yes,2008,Pajero Wagon,2260
Toyota,9300.0,sedan,107,1.8,Gas,yes,2007,Avensis,2261
BMW,3500.0,vagon,280,3.0,Diesel,no,2001,330,2262
BMW,41500.0,vagon,42,2.0,Petrol,yes,2012,X3,2263
Volkswagen,10300.0,other,215,1.9,Other,yes,2007,T5 (Transporter),2264
Mercedes-Benz,,crossover,1,3.0,Petrol,yes,2015,GLE-Class,2265
Audi,2200.0,vagon,280,2.5,Diesel,no,2002,A6 Allroad,2266
Renault,19692.08,crossover,0,1.5,Diesel,yes,2016,Duster,2267
Renault,7850.0,van,187,1.5,Diesel,yes,2010,Kangoo,2268
Mercedes-Benz,,sedan,42,3.0,Diesel,yes,2014,S 350,2269
Volkswagen,3950.0,hatch,280,,Gas,yes,1996,Golf III,2270
Toyota,20000.0,crossover,94,4.5,Petrol,yes,2005,Land Cruiser 105,2271
Audi,3800.0,sedan,253,2.5,Diesel,no,1998,A6,2272
BMW,13700.0,sedan,254,3.0,Diesel,yes,2003,530,2273
Toyota,31000.0,crossover,86,2.2,Diesel,yes,2014,Rav 4,2274
Volkswagen,14400.0,van,237,2.0,Diesel,yes,2010,T5 (Transporter),2275
BMW,4700.0,sedan,200,,Petrol,yes,1996,316,2276
Toyota,17500.0,hatch,45,1.6,Petrol,yes,2014,Auris,2277
Renault,10396.23,vagon,1,1.2,Petrol,yes,2015,Logan,2278
BMW,27800.0,crossover,140,3.0,Diesel,yes,2009,X5,2279
Volkswagen,5800.0,sedan,200,1.4,Petrol,yes,2000,Golf IV,2280
Renault,5800.0,vagon,200,1.46,Diesel,yes,2008,Grand Scenic,2281
Audi,21500.0,vagon,165,2.0,Diesel,yes,2010,A6,2282
Volkswagen,3600.0,sedan,330,2.8,Gas,yes,1994,Passat B4,2283
BMW,6500.0,sedan,388,3.5,Petrol,yes,1998,735,2284
Volkswagen,10700.0,vagon,171,1.9,Diesel,yes,2010,Caddy,2285
BMW,3100.0,sedan,280,2.0,Diesel,no,1999,320,2286
Mercedes-Benz,38800.0,hatch,8,,Other,yes,2015,B-Class Electric Drive,2287
Mercedes-Benz,1350.0,vagon,240,2.5,Diesel,no,1992,E-Class,2288
Renault,,van,150,2.5,Diesel,yes,2007,Trafic,2289
Mercedes-Benz,4500.0,other,525,2.3,Diesel,yes,1995,Sprinter 208,2290
Mercedes-Benz,99000.0,sedan,0,3.0,Petrol,yes,2016,CLS 400,2291
Mercedes-Benz,5600.0,vagon,355,2.5,Diesel,yes,1996,250,2292
Mercedes-Benz,8500.0,sedan,388,4.3,Gas,yes,2000,S 430,2293
BMW,24000.0,crossover,108,2.0,Diesel,yes,2012,X1,2294
Mitsubishi,9300.0,sedan,95,2.0,Petrol,yes,2008,Lancer X,2295
Toyota,15700.0,sedan,125,3.5,Petrol,yes,2008,Camry,2296
Volkswagen,9600.0,sedan,106,1.6,Petrol,yes,2011,Polo,2297
Volkswagen,21000.0,other,93,2.0,Diesel,yes,2012,Passat B7,2298
Mercedes-Benz,3500.0,sedan,303,2.2,Diesel,no,2000,C-Class,2299
Toyota,45500.0,crossover,65,4.0,Gas,yes,2010,FJ Cruiser,2300
Audi,20900.0,crossover,185,4.2,Petrol,yes,2006,Q7,2301
Mercedes-Benz,6999.0,other,168,2.3,Petrol,yes,2001,CLK 230,2302
Mitsubishi,7999.0,sedan,112,2.0,Petrol,yes,2008,Lancer X,2303
BMW,6500.0,sedan,1,3.0,Petrol,yes,1995,730,2304
BMW,29500.0,sedan,230,3.0,Diesel,yes,2011,530,2305
Renault,10300.0,van,138,2.0,Diesel,yes,2011,Trafic,2306
Volkswagen,6000.0,other,1,2.5,Diesel,yes,1999,LT,2307
Volkswagen,3300.0,vagon,193,1.9,Diesel,no,2003,Passat B5,2308
Volkswagen,2400.0,vagon,320,1.9,Diesel,no,2000,Passat B5,2309
Audi,23900.0,sedan,180,3.0,Diesel,yes,2009,A6,2310
Volkswagen,9300.0,sedan,148,2.0,Petrol,yes,2006,Passat B6,2311
Mitsubishi,1699.0,hatch,294,1.6,Gas,yes,1992,Lancer,2312
Volkswagen,34000.0,crossover,92,3.0,Diesel,yes,2012,Touareg,2313
Toyota,14500.0,other,82,2.0,Gas,yes,2007,Rav 4,2314
Volkswagen,10400.0,sedan,78,1.6,Petrol,yes,2012,Polo,2315
BMW,6100.0,sedan,266,3.5,Petrol,no,1997,535,2316
Volkswagen,7200.0,other,177,1.9,Diesel,yes,2010,Caddy,2317
Mercedes-Benz,14000.0,other,144,2.2,Diesel,yes,2009,Vito,2318
Mercedes-Benz,8900.0,other,213,5.0,Other,yes,1999,CL 500,2319
BMW,22100.0,hatch,42,1.6,Petrol,yes,2013,116,2320
Mercedes-Benz,33500.0,van,0,,Diesel,yes,2015,Sprinter 316,2321
Mercedes-Benz,,sedan,20,3.0,Diesel,yes,2015,S 350,2322
Toyota,33950.0,other,65,5.7,Petrol,yes,2013,Tundra,2323
BMW,3499.0,sedan,101,2.5,Petrol,yes,1990,525,2324
Audi,28500.0,crossover,74,2.0,Petrol,yes,2010,Q5,2325
BMW,8800.0,crossover,284,3.0,Diesel,no,2004,X5,2326
Volkswagen,17200.0,other,15,1.2,Petrol,yes,2014,Golf VII,2327
Audi,3000.0,sedan,278,2.5,Diesel,no,1999,A6,2328
Toyota,25800.0,sedan,58,2.5,Petrol,yes,2015,Camry,2329
Mercedes-Benz,18500.0,sedan,143,5.5,Petrol,yes,2007,S 550,2330
Volkswagen,28793.04,van,0,1.6,Diesel,yes,2016,Caddy,2331
BMW,42900.0,sedan,2,2.0,Petrol,yes,2016,520,2332
Toyota,11800.0,sedan,90,1.8,Petrol,yes,2008,Avensis,2333
Renault,7100.0,van,171,1.5,Diesel,yes,2013,Kangoo,2334
Volkswagen,22000.0,sedan,26,1.8,Petrol,yes,2011,Passat CC,2335
Volkswagen,2700.0,hatch,400,1.8,Gas,yes,1989,Golf II,2336
Toyota,7000.0,other,220,1.8,Petrol,yes,2001,Celica,2337
BMW,6499.0,other,230,3.0,Diesel,no,2002,X5,2338
Volkswagen,15700.0,sedan,110,1.8,Petrol,yes,2011,Passat B7,2339
Mitsubishi,8100.0,sedan,113,2.0,Petrol,yes,2007,Lancer X,2340
Mercedes-Benz,12200.0,other,287,3.2,Petrol,yes,2000,ML 320,2341
Renault,5400.0,sedan,96,1.4,Petrol,yes,2007,Symbol,2342
Mercedes-Benz,5400.0,sedan,285,2.2,Diesel,no,2002,220,2343
Volkswagen,7700.0,vagon,287,1.9,Diesel,yes,2002,Sharan,2344
BMW,34000.0,sedan,115,5.0,Petrol,yes,2008,750,2345
Audi,3900.0,sedan,302,1.9,Diesel,no,2002,A6,2346
Mercedes-Benz,15000.0,sedan,240,5.0,Petrol,yes,2004,S 500,2347
Volkswagen,8999.0,sedan,120,2.0,Petrol,yes,2008,Passat B6,2348
Volkswagen,2400.0,sedan,268,99.99,Petrol,yes,1989,Passat B3,2349
Mitsubishi,6300.0,sedan,116,1.5,Petrol,yes,2008,Lancer X,2350
Volkswagen,7999.0,van,210,1.6,Gas,yes,2004,Touran,2351
Toyota,25200.0,crossover,128,4.0,Gas,yes,2007,Land Cruiser Prado,2352
BMW,26999.0,sedan,131,2.0,Diesel,yes,2011,520,2353
Mercedes-Benz,4000.0,sedan,460,2.0,Petrol,yes,1991,E-Class,2354
Audi,16000.0,sedan,180,3.0,Diesel,yes,2006,A6,2355
Mitsubishi,9200.0,sedan,115,2.0,Petrol,yes,2008,Lancer X,2356
Volkswagen,7000.0,van,250,2.0,Diesel,yes,2004,Caddy,2357
Toyota,85000.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,2358
Volkswagen,3200.0,sedan,320,1.8,Gas,yes,1990,Passat B3,2359
Renault,11000.0,hatch,127,1.5,Diesel,yes,2012,Megane,2360
Mercedes-Benz,13900.0,other,225,,Other,yes,2008,Vito,2361
Mitsubishi,10500.0,crossover,187,2.4,Gas,yes,2008,Outlander,2362
BMW,17500.0,sedan,102,2.0,Petrol,yes,2011,320,2363
Renault,7200.0,vagon,224,1.5,Diesel,yes,2004,Megane,2364
Toyota,8400.0,sedan,195,2.4,Gas,yes,2004,Camry,2365
Volkswagen,8350.0,van,1,1.6,Diesel,yes,2011,Caddy,2366
Audi,3200.0,vagon,244,2.0,Other,no,2006,A4,2367
Toyota,11999.0,sedan,147,2.4,Petrol,yes,2010,Camry,2368
Toyota,29900.0,crossover,144,4.0,Gas,yes,2008,Land Cruiser 200,2369
BMW,11500.0,sedan,290,3.0,Diesel,yes,2001,730,2370
Audi,,vagon,156,3.0,Diesel,yes,2009,A6,2371
Mitsubishi,13900.0,vagon,93,3.0,Gas,yes,2007,Outlander XL,2372
Mercedes-Benz,,sedan,300,2.6,Petrol,yes,2002,E-Class,2373
Renault,5000.0,van,245,1.5,Diesel,yes,2003,Kangoo,2374
Toyota,2350.0,hatch,211,1.3,Petrol,yes,1987,Corolla,2375
Volkswagen,12900.0,van,127,1.6,Diesel,yes,2011,Caddy,2376
Mercedes-Benz,8650.0,van,344,2.2,Diesel,yes,2006,Vito,2377
Toyota,22900.0,crossover,132,2.7,Gas,yes,2012,Venza,2378
Mercedes-Benz,13500.0,van,290,2.2,Diesel,yes,2007,Vito,2379
Audi,39999.0,crossover,45,2.0,Diesel,yes,2014,Q5,2380
Audi,2850.0,sedan,350,,Gas,yes,1988,80,2381
Volkswagen,3300.0,sedan,250,1.9,Diesel,no,2000,Passat B5,2382
Audi,32500.0,crossover,108,2.0,Diesel,yes,2012,Q5,2383
Mitsubishi,13300.0,crossover,135,3.0,Petrol,yes,2009,Outlander XL,2384
Volkswagen,2900.0,vagon,257,1.9,Diesel,no,2003,Passat B5,2385
Volkswagen,2900.0,sedan,315,1.6,Gas,yes,1990,Passat B3,2386
Mercedes-Benz,21000.0,crossover,208,3.5,Petrol,yes,2007,ML 350,2387
Mercedes-Benz,,crossover,1,3.0,Petrol,yes,2016,GLE-Class,2388
Toyota,89000.0,crossover,61,4.5,Diesel,yes,2011,Land Cruiser 200,2389
Volkswagen,23500.0,crossover,48,2.0,Diesel,yes,2012,Tiguan,2390
Mitsubishi,4200.0,van,350,1.8,Gas,yes,1992,Space Wagon,2391
Mercedes-Benz,70500.0,crossover,99,5.5,Petrol,yes,2009,G 55 AMG,2392
Mercedes-Benz,124000.0,crossover,0,4.0,Petrol,yes,2016,GLS 400,2393
Audi,39999.0,crossover,45,2.0,Diesel,yes,2014,Q3,2394
Mercedes-Benz,1999.0,sedan,400,2.2,Diesel,no,2000,200,2395
Mercedes-Benz,14300.0,other,175,2.2,Diesel,yes,2013,Sprinter 313,2396
Toyota,13500.0,sedan,139,2.4,Gas,yes,2008,Camry,2397
Toyota,13300.0,sedan,104,2.4,Petrol,yes,2007,Camry,2398
Toyota,8200.0,hatch,82,1.3,Petrol,yes,2006,Yaris,2399
Renault,12000.0,van,137,1.5,Diesel,yes,2012,Grand Scenic,2400
Renault,2150.0,vagon,199,1.9,Diesel,no,2003,Laguna,2401
Toyota,29000.0,vagon,60,2.2,Diesel,yes,2013,Rav 4,2402
Mercedes-Benz,9500.0,van,280,2.2,Diesel,yes,2005,Vito,2403
Volkswagen,,van,146,2.5,Diesel,yes,2009,T5 (Transporter),2404
Volkswagen,10600.0,van,120,2.0,Diesel,yes,2007,Touran,2405
Mercedes-Benz,12500.0,van,238,2.2,Diesel,yes,2008,Vito,2406
Mitsubishi,10200.0,crossover,269,3.2,Diesel,yes,2002,Pajero Wagon,2407
